item_id;item_name
131;Rosquillas integrales x 210g Navidad
132;Spirulina + acai x 5g
133;Cúrcuma polvo muestra
134;Pasab Rosqui SPIRUNAT tradi 40gr x 18
135;Pasab Rosqui SPIRUNAT tradi 75 gr PI x 12 
136;Pasab Rosqui SPIRUNAT Vega 40 gr PI x 18
137;Alim.Nat 100% Cúrcuma SPIRUNAT polvo x 60g
138;Rosquillas 4 Pack tradicionales CR
139;Rosquillas 4 Pack veganos CR
140;Spirulina + Maca x 5g
141;Spiractive Proteína x 510 g
142;ALIM POLVO PROTEÍNA SPIRACTIVE* 210G
143;Spirulina Polvo x100g Costa Rica
144;Spirulina Protein Ball Banano
145;Palitos de pan de arroz con linaza x 5kg
146;ALIM POLVO PROTEÍNA SPIRACTIVE*510G
147;PAN ARROZ ROSQUILLA CHIA LINAZA 210G MADRES
148;Six Pack Tradicional Promotora
149;Six Pack Vegano Promotora
150;Spirulina Protein Ball Caja x 6 unid
151;Spirute Verde Costa Rica
152;Spirute Rojo Costa Rica
153;Spirute Cúrcuma Costa Rica
154;Spirute Moringa Costa Rica
155;Sixpack Vegano Novaventa
156;Sixpack Tradicional Novaventa
157;PAN ARROZ SPIRULINA ROSQUILLA MACA 40G *6
158;Rosquilla + chia y linaza x 40gr surtida CN
159;Rosquilla + garbanzo x 40gr surtida CN
160;Rosquilla + spirulina x 40gr surtida CN
161;SF - DOCENA Rosquillas + Chia y Linaza x 75
162;SF - DOCENA Rosquillas +chia y linaza Tradi 40g
163;SF - DOCENA Rosquillas integrales + garbanzo
164;SF - DOCENA Rosquillas Integrales + Spirulina
165;SF - Six Pack Rosquillas + chia y linaza x 40g
166;ALIM NAT. 100% CURCUMA NATURELA 60GR
167;TÉ CACAO  NATURAL SPIRUTÉ 30 BOLS *45G 
168;PAN ARROZ ROSQUILLA CHIA LINAZA 210G NAVIDAD
169;GOLDEN LATTE MEZCLA DE CÚRCUMA Y ESPECIAS * 100G
170;Golden Latte x 3g
171;SF - Six Pack Rosquillas + garbanzo x 40 gr
172;PAS. KIBO GARBANZO QUESO PL X 6 - 168G
173;PAS. KIBO GARBANZO H. MEDITE PL X6 -168G
174;PROTEINA VEGETAL KIBO FINA PLX200G
175;PAS. KIBO GARBANZO SAL HIMAL PL X6 -168G
176;Pasab. Rosqui Naturela Tradi x 40g. Bs x 16
177;Moringa en polvo x 5 g
178;ALIMENTO MORINGA EN POLVO 100% PURA *100G
179;Rosquillas integrales x 10g
180;Turmeric & Spirulina tea
181;Moringa & Spirulina Tea
182;Cacao & Spirulina Tea
183;Turmeric powder x 100g
184;Green Tea & Spirulina
185;ALIMENTO ACAI  POLVO 100% PURA *75G
186;TÉ JENGIBRE SPIRUTÉ 30 BOLS *45G 
187;PAS. KIBO LENTEJA MAUI BS X 4 - 112G
188;PAS. KIBO LENTEJA QUESO ROST BS X 4-112G
189;PAS. KIBO LENTEJA SAL MARINA BS X 4-112G
190;BITES DE PROTEINA VEGETAL 50G*6
191;JENGIBRE EN POLVO   *60G
192;MACA EN POLVO 100*G
193;spirulina polvo x 1 kg
194;LATA SPIRUTÉ SURTIDO* 54GR
195;Maca en polvo x 5 g
196;jengibre polvo x 5 gr 
197;Acai polvo 10g
198;Bites de Proteína vegetal x unidad
199;TÉ SURTIDO SPIRUTÉ 30 BOLS X 45 G                 
200;GREEN FIBER 250 GR 
201;Spirulina crunch x 8g
202;SPIRUTE SURTIDO MUESTRA
203;BEBIDA VERDE PARA DILUIR *120ML
204;TE CACAO NATURAL SPIRUTE 20 BOLS X 30g
205;PINK LATTE MEZCLA PROTEINA CON REMOLACHA * 100G
206;PAN ARROZ SURTIDO X 6
207;BITES DE PROTEINA VEG. X 50g X 3 UNIDADES
208;TE JENGIBRE SPIRUTE 20 BOLS X 30g
209;TE VERDE SPIRULINA SPIRUTE 20BOLS X 30g
210;BEBIDA VERDE PARA DILUIR MUESTRA 10 ML
211;Proteína Vegetal Mezcla para batidos * 210g
212;TE MORINGA NATURAL SPIRUTE 20 BOLS X 30g
213;PINK LATTE MUESTRA X 12 GR
214;NATURELA MENTAS X 36GR
215;TÉ SURTIDO SPIRUTÉ 3 VARIEDADES 20 BOLS X 30 G 
216;PAN ARROZ ROSQUILLA CHIA LINAZA 210G ORINOQUIA
217;CACAO LATTE X 100g
218;PAN ARROZ  ROSQUILLAS CHIA LINAZA 30G *8
219;LATA SPIRUTÉ SURTIDO* 54GR ORINOQUIA
220;CACAO LATTE MUESTRA
